Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
Prestige Estates,533274,Mumbai,31/12/2016,375000000,6281.25
Prism Cement,500338,Mumbai,31/12/2016,503356580,5257.6
PTC India,532524,Mumbai,31/12/2016,296008321,2536.81
PTC India Fin,533344,Mumbai,31/12/2016,642283335,2704.01
Punj Lloyd,532693,Mumbai,31/12/2016,332095745,722.32
Punjab Natl.Bank,532461,Mumbai,31/12/2016,2127968258,31951.44
Puravankara,532891,Mumbai,31/12/2016,237149686,1157.24
PVR,532689,Mumbai,31/12/2016,46738588,6067.14
R C F,524230,Mumbai,31/12/2016,551688100,3326.69
Radico Khaitan,532497,Mumbai,31/12/2016,133038765,1629.2
Rain Industries,500339,Mumbai,31/12/2016,336345679,2616.8
Rajesh Exports,531500,Mumbai,31/12/2016,295259959,14643.93
Rallis India,500355,Mumbai,31/12/2016,194468890,4863.67
Ratnamani Metals,520111,Mumbai,31/12/2016,46728000,3127.27
Raymond,500330,Mumbai,31/12/2016,61380854,3092.06
Redington India,532805,Mumbai,31/12/2016,399848460,4226.4
Rel. Comm.,532712,Mumbai,31/12/2016,2488979745,9122.11
Rel. Indl. Infra,523445,Mumbai,31/12/2016,15100000,624.23
Reliance Capital,500111,Mumbai,31/12/2016,252632800,12377.74
Reliance Defence,533107,Mumbai,31/12/2016,736206269,4310.51
Reliance Inds.,500325,Mumbai,31/12/2016,3243593710,335301.81
Reliance Infra.,500390,Mumbai,31/12/2016,262990000,14148.86
Reliance Power,532939,Mumbai,31/12/2016,2805126466,12931.63
Religare Enterp.,532915,Mumbai,31/12/2016,178334498,4349.58
Repco Home Fin,535322,Mumbai,31/12/2016,62561362,4789.39
Rico Auto Inds,520008,Mumbai,31/12/2016,135285000,796.92
Rolta India,500366,Mumbai,31/12/2016,163403888,1059.67
Ruchi Soya Inds.,500368,Mumbai,31/12/2016,334100722,833.58
Rural Elec.Corp.,532955,Mumbai,31/12/2016,1974918000,29288.03
S A I L,500113,Mumbai,31/12/2016,4130525289,27137.55
S B T,532191,Mumbai,31/12/2016,71104167,4081.73
S C I,523598,Mumbai,31/12/2016,465799010,3151.14
Sadbhav Engg.,532710,Mumbai,31/12/2016,171570800,4858.89
Sanofi India,500674,Mumbai,31/12/2016,23030622,9397.85
Schneider Elect.,534139,Mumbai,31/12/2016,239104035,3471.73
SE Investments,532900,Mumbai,31/12/2016,40560000,738.8
Sh.Renuka Sugar,532670,Mumbai,31/12/2016,928811242,1407.15
Shanthi Gears,522034,Mumbai,31/12/2016,81715853,971
Shoppers St.,532638,Mumbai,31/12/2016,83504744,2441.26
Shree Cement,500387,Mumbai,31/12/2016,34837225,55908.97
Shrenuj & Co.,523236,Mumbai,31/12/2016,192907258,46.3
Shri.City Union.,532498,Mumbai,31/12/2016,65938332,12582.7
Shriram Trans.,511218,Mumbai,31/12/2016,226882736,21870.1
Siemens,500550,Mumbai,31/12/2016,356120255,42310.65
Simplex Infra,523838,Mumbai,31/12/2016,49472330,1535.42
Sintex Inds.,502742,Mumbai,31/12/2016,523472621,4936.59
Siti Networks,532795,Mumbai,31/12/2016,794147420,3172.62
SKF India,500472,Mumbai,31/12/2016,52732538,6891.28
Sobha,532784,Mumbai,31/12/2016,96304676,2655.96
Sona Koyo Steer.,520057,Mumbai,31/12/2016,198741832,1615.77
